,id,gwh_per_mm3,latitude,longitude,type,rainfall,avg daily temp,min daily temp,max daily temp,sea level pressure,global radiation
193,H77,0.1886540600667408,38.890417,21.499583,HDAM,0.7079452120482105,16.639780447989295,11.570081944620773,20.762136516995625,1015.6761785637842,192.5041095890411
194,H78,25.294117647058826,66.503203,20.380167,HDAM,1.992054824633141,0.654301368072629,-4.2352601948972435,5.005451936871834,1008.0106983759632,91.56986301369864
195,H783,17.3943661971831,46.59257,15.15301,HDAM,3.2726027936151585,8.619177876923182,3.7701917024916165,14.071479138027723,1018.0142606552333,148.94794520547944
196,H795,0.08962868117797695,64.57875,26.76625,HDAM,1.5728767434211626,2.65810953613932,-1.4731506658080098,6.293150548483819,1009.280288320045,8.69041095890411
197,H8,2.5019047619047616,44.673,22.532,HDAM,1.2432876921679876,13.391232611963602,7.941095740628773,18.923944777832048,1017.1148093027612,165.58904109589042
198,H800,1.6226295828065742,41.7686,-7.9504,HDAM,2.128219210611631,13.609342169680007,7.624794351779027,20.096465302820075,1019.2213833743579,172.2
199,H804,0.08625,44.622793,22.641357,HDAM,1.2567123530662223,13.805479160272707,8.292986117303371,19.385807781207234,1017.1052194255672,166.58356164383562
200,H810,1.3947368421052628,44.177917,24.48375,HDAM,1.5608219378615078,13.067479147302778,7.220547823577303,18.94104063838006,1016.6876839415668,168.42191780821918
201,H811,1.0833333333333333,44.045417,24.57125,HDAM,1.5980822135324348,13.236766789302434,7.351972426907861,19.14452015989243,1016.6375481592465,169.09315068493152
202,H812,0.8909090909090909,44.26625,24.400417,HDAM,1.5358904449907067,12.883506536728715,7.059342315588912,18.734520082645222,1016.7222042554046,168.07945205479453
203,H813,1.364864864864865,43.81625,24.69625,HDAM,1.6772603051303183,13.420739433414315,7.495095743172585,19.347232450197822,1016.5452178537029,169.44657534246576
204,H814,1.3205128205128205,43.920417,24.625417,HDAM,1.6098630451176263,13.26487641481504,7.365232696195376,19.16073928111016,1016.579465432363,168.96712328767123
205,H83,30.357142857142854,46.05271,5.81285,HDAM,2.325479495035459,11.243670953779596,6.032629992026989,16.4286845253755,1019.410972281678,155.9753424657534
206,H84,18.79699248120301,46.4198999,6.9287696,HPHS,2.7490411392629963,6.640547772976634,1.9519451604211984,11.810218907356875,1019.333163661173,155.54794520547946
207,H850,1.0483870967741935,45.162083,22.732917,HDAM,1.5367123553197677,9.27230115965621,4.507725940808042,14.255479111736769,1017.160287015732,159.72876712328767
208,H851,0.7688888888888888,44.537083,24.325417,HDAM,1.5205479697005388,12.732575058018508,6.9188491483512395,18.610602319036445,1016.818370411494,167.81095890410958
209,H88,8.475609756097562,46.804819733900004,10.331344182999901,HDAM,2.2106849781454425,2.460465678363426,-1.2220821655827434,7.799232701747997,1019.1085077991224,154.413698630137
210,H886,1.2770809578107185,41.91922,24.19305,HDAM,1.856438388481532,9.714821745582844,4.291095809796698,15.144081861107317,1016.8827524681614,169.88219178082193
211,H888,0.12637362637362634,59.54375,13.299582999999998,HDAM,1.7156164742495916,6.654410790810234,2.3456711761347235,10.866684694838238,1010.2780952349101,104.94794520547946
212,H894,7.052631578947367,45.120417,24.375417,HDAM,1.9367123711599064,12.08783534725439,6.265260148737324,17.974218775148262,1016.9520671687714,158.4082191780822
213,H897,0.9083333333333332,47.651451,10.735525,HDAM,3.815616523811262,7.8787669371711475,3.3109588218878394,13.142246282662022,1019.1285102739726,143.07945205479453
214,H907,3.5,44.682917,24.292083,HDAM,1.5476712527340406,12.78975312979254,6.969123148402735,18.670081783065648,1016.8580966061108,166.82739726027398
215,H908,8.91891891891892,45.012083,24.29625,HDAM,1.8084931847167343,12.509396987255306,6.682027279657044,18.417451635345,1016.9433018514554,160.53698630136986
216,H909,1.1089681774349085,46.337083,27.04625,HDAM,1.454520579886763,11.135698371610209,5.318712212706673,17.0072598594917,1016.8326176891588,151.9917808219178
